tweet_text,my_classification,context
let 's pesto pasta instead basil pesto use chimichurri ( italy🤝argentina ),C,
"`` biomass '' convenient term , call , `` burning wood energy , '' lot folks going see . southeastern forests getting churned pellets converted coal plants overseas , yeah , burn wood energy .",C,font screenshot parallel electric blue document number event
ido whitelist open 🔗 🔗 @ hololoot world 's first ar metaverse nft generator marketplace . hype train starting . invest great project @ synapsenetwork_ launchpad . join . # nft # metaverse $ hol # ido,NMCOT,
breeding cows ontheair ! listen streaming cattleman 's corner ... visit ondemand podcast channel ...,NMCOT,
travel plans work change boss felt bad sent $ 100 uber eats gift card 🥲,C,
never listen twenty one pilots,C,
plz yeh 15min fast forward krdooo koi😭💔 # 11thhour,NMCOT,
24hour crypto market activity via # lunarcrush # lunarshare @ ga4good @ tamimofficial28 # lunarshare,NMCOT,"lunarcrush 24hour cryptocurrency market activity lunarcrush 24hour crypto market activity via lunarcrush social volume 1,924,033 social engagement 4,275,687,220 shared links 278,488 social contributors 46,710 market cap $ 2,464,131,505,411 news volume 1,557 bitcoin dominance 39.187 % altcoin dominance 60.813 %"
's comedian,NMCOT,face hair skin chin outerwear shirt eye neck jaw sleeve
2 people followed // automatically checked,NMCOT,fllwrs keep track follows unfollows twitter fllwrs easiest way keep track twitter followers
"student history point , good time start .",C,
’ always remember little things,C,
"wrongway driver killed one , injured two jailed six years",C,"wrongway driver killed one , injured two jailed six years news bht man drove wrong way n7 dual carriageway early hours morning"
playing deckard.mp3 !,NMCOT,street takeover radio 104.5fm streettakeover radio 104.5 taking world street check crew dj pee streetking dj gordo dj benaez dj tone dj pretty tone dj hot1ne dj jess c dj lil jet set dj canale dj kawon dj coms dj konquer dj robert smith dj rachel lynch dj tito latino dj rampage soul parlour mr tay dj brotha reese dj kool hand dj senseii dj shorty dj willie starks dj jan kit kelevra kidah tj supa hype dj money dj haffa dj lartist dj ronsha gvon boom bap hour da goodness radio show dj spins ryan show pae dobles dj secreto dj mcat gluva dj niner
miss @ oye_cricketer 😔,C,
parents . taking away something kid enjoys make want work harder . 're going get pissed .,C,
reading thing easy😭😭😭,C,
’ nice nail tech trash human,C,
whenever see pictures kim kardashian pete davidson together first image pops head,C,brown giraffe giraffidae toy fawn terrestrial animal animal figure snout working animal stuffed toy
* sagely * bullshit fucks ass,NMCOT,
’ uncomfortable right,C,
nigerian police ever get better ? 🤏,C,
"bad news 'm screening fast still feeling distracted work . good news n't feel like 'm suffocating anymore looking microscope . , uh , progress !",C,
"disagreements fine , disrespect .",C,
wanted post 😂😂😂 . everyone preferences,C,
first time idk many years actually remember dreams 😊 # progress,C,
boutta start handing people side quests stating random facts like ’ npc,C,
